#Parameters = {R=50}
#"Wavelength / nm"	"Total RCS [pw] (R=50) [Magnitude]"
#-----------------------------------------------------
503.00747986577	38877.963931518
500.48824373957	34869.080905462
497.99411627907	31856.840971592
495.52472396694	29613.283392619
493.07970065789	27953.404544702
490.65868739771	26738.533473267
488.26133224756	25807.121011453
485.88729011345	25160.278064161
483.53622258065	24767.432536045
481.20779775281	24583.812726533
478.90169009585	24569.010711021
476.61758028617	24709.231545189
474.35515506329	25000.408396350
472.11410708661	25431.167347146
469.89413479624	25994.614762505
467.69494227769	26697.408814125
465.51623913043	27544.965590194
463.35774034003	28541.344226807
461.21916615385	29693.065457553
459.10024196018	31018.223025933
457.00069817073	32547.300804292
454.92027010622	34272.832200882
452.85869788520	36203.498051103
450.81572631579	38336.076944598
448.79110479042	40672.486912242
446.78458718331	43113.513782073
444.79593175074	45455.594869178
442.82490103397	47375.106367240
440.87126176471	48374.249860376
438.93478477306	47544.689643787
437.01524489796	44168.093932537
435.11242089985	38454.620240268
433.22609537572	31303.482104601
431.35605467626	24063.290712980
429.50208882521	17636.158390779
427.66399144080	12393.164321361
425.84155965909	8801.0598041455
424.03459405941	6491.3354059143
422.24289859155	5150.8934422778
420.46628050491	4502.0965896291
418.70455027933	4332.5657841146
416.95752155772	4521.3275787187
415.22501108033	4925.1714407268
413.50683862069	5452.3088424179
411.80282692308	6047.2994005213
410.11280164159	6676.8300610557
408.43659128065	7446.2570292796
406.77402713704	8218.8173367017
405.12494324324	8975.4750420126
403.48917631225	9712.1454197822
401.86656568365	10427.896503937
400.25695327103	11122.701738675
398.66018351064	11986.950482521
397.07610331126	12850.751203633
395.50456200528	13692.007079905
393.94541130092	14532.702761373
392.39850523560	15400.743836199
390.86370013038	16323.250873527
389.34085454545	17429.612929484
387.82982923674	18639.797544192
386.33048711340	19664.335525483
384.84269319641	20448.432313471
#Parameters = {R=70}
#"Wavelength / nm"	"Total RCS [pw] (R=70) [Magnitude]"
#-----------------------------------------------------
788.92752105263	3743.3168187999
782.74793211488	3864.0687346686
776.66439896373	3989.5209796137
770.67469922879	4119.9603007699
764.77667857143	4256.3132414208
758.96824810127	4398.7285351130
753.24738190955	4547.1309185952
747.61211471322	4702.6811226124
742.06053960396	4865.9874351570
736.59080589681	5036.9104195253
731.20111707317	5216.1348506169
725.88972881356	5405.3441945367
720.65494711538	5604.8784509628
715.49512649165	5815.1043589936
710.40866824645	6037.3587620918
705.39401882353	6275.8089891511
700.44966822430	6529.7631988853
695.57414849188	6798.0685060073
690.76603225806	7084.5949668174
686.02393135011	7395.4195399825
681.34649545455	7731.2036648488
676.73241083521	8096.1146756732
672.18039910314	8493.7238700772
667.68921603563	8927.5847052452
663.25765044248	9404.0805951737
658.88452307692	9931.5661905383
654.56868558952	10522.935908021
650.30901952278	11183.880734303
646.10443534483	11935.056227475
641.95387152034	12793.047559170
637.85629361702	13784.783271224
633.81069344609	14943.342357723
629.81608823529	16308.457563810
625.87151983299	17945.439121757
621.97605394191	19926.074540141
618.12877938144	22361.473674320
614.32880737705	25403.098457447
610.57527087576	29251.608574113
606.86732388664	34256.814401607
603.20414084507	40805.770272999
599.58491600000	49447.107827122
596.00886282306	60928.329049214
592.47521343874	75857.111974368
588.98321807466	94362.837079283
585.53214453125	114841.84692105
582.12127766990	132394.68494264
578.74991891892	140608.40714926
575.41738579655	136363.01032923
572.12301145038	123098.08209901
568.86614421252	106720.13072013
565.64614716981	91257.103465472
562.46239774859	78522.812020969
559.31428731343	68565.243517478
556.20122077922	60904.272410684
553.12261623616	55138.448508359
550.07790458716	50816.632300158
547.06652919708	47521.547208480
544.08794555354	45088.564931327
541.14162093863	43323.072118576
538.22703411131	42054.396008794
535.34367500000	41209.238426590
532.49104440497	40728.454305244
529.66865371025	40554.283585253
526.87602460457	40636.554326930
524.11268881119	40957.662037545
521.37818782609	41502.626661270
518.67207266436	42254.328280028
515.99390361446	43216.434395367
513.34325000000	44385.398442358
510.71968994889	45762.209540831
508.12281016949	47356.987668327
505.55220573356	49180.670282127
503.00747986577	51242.693964358
500.48824373957	53555.187595254
497.99411627907	56144.731754871
495.52472396694	59016.993027051
493.07970065789	62168.420566508
490.65868739771	65589.043100628
488.26133224756	69383.901431223
485.88729011345	73398.305704697
483.53622258065	77386.447255704
481.20779775281	81013.976992410
478.90169009585	83768.410815947
476.61758028617	84813.048057478
474.35515506329	83213.256129767
472.11410708661	78292.258359787
469.89413479624	70018.281496757
467.69494227769	58652.157589320
465.51623913043	46659.975494143
463.35774034003	36034.862241116
461.21916615385	28040.528391321
459.10024196018	22062.361439546
457.00069817073	16122.733585909
454.92027010622	11093.754356385
452.85869788520	7890.8357744333
450.81572631579	6139.3366467541
448.79110479042	5325.1712171285
446.78458718331	5168.0604864878
444.79593175074	5438.8793414161
442.82490103397	5977.7317175927
440.87126176471	6684.1588888501
438.93478477306	7527.4330968638
437.01524489796	8458.2712390161
435.11242089985	9418.3596853599
433.22609537572	10387.816045206
431.35605467626	11353.954711417
429.50208882521	12338.307147870
427.66399144080	13381.912929817
425.84155965909	14399.197464599
424.03459405941	15388.430008239
422.24289859155	16350.014240588
420.46628050491	17284.780417448
418.70455027933	18269.728910664
416.95752155772	19241.190269299
415.22501108033	20159.455335878
413.50683862069	21018.915176652
411.80282692308	21849.125017819
410.11280164159	22713.096918082
408.43659128065	23866.769986186
406.77402713704	25254.568976622
405.12494324324	26930.099099225
403.48917631225	28918.043646388
401.86656568365	31127.952523489
400.25695327103	33344.328099210
398.66018351064	35550.852142319
397.07610331126	37039.258034648
395.50456200528	37885.534724356
393.94541130092	38286.498464179
392.39850523560	38353.053314865
390.86370013038	38118.939204203
389.34085454545	36914.641790253
387.82982923674	34641.561179075
386.33048711340	32363.711331891
384.84269319641	30321.264552965
#Parameters = {R=80}
#"Wavelength / nm"	"Total RCS [pw] (R=80) [Magnitude]"
#-----------------------------------------------------
788.92752105263	9170.7448215101
782.74793211488	9560.1832539101
776.66439896373	9976.7648581851
770.67469922879	10423.499328917
764.77667857143	10909.428040813
758.96824810127	11435.092165868
753.24738190955	12006.437774567
747.61211471322	12633.867992889
742.06053960396	13327.484639155
736.59080589681	14094.871202524
731.20111707317	14953.878711847
725.88972881356	15920.013296168
720.65494711538	17018.101684249
715.49512649165	18271.360537705
710.40866824645	19720.617982977
705.39401882353	21449.288522759
