#Parameters = {R=70}
#"Frequency / THz"	"Total RCS [pw] [Magnitude]"
#----------------------------------------------
608.00000000000	35597.530003223
611.00000000000	31847.358180764
614.00000000000	28883.186164179
617.00000000000	26649.893804533
620.00000000000	25013.098042999
623.00000000000	23824.024178939
626.00000000000	22954.759723822
629.00000000000	22345.857541311
632.00000000000	21970.971456452
635.00000000000	21787.946498028
638.00000000000	21765.804513450
641.00000000000	21870.397524815
644.00000000000	22114.455280266
647.00000000000	22486.860985623
650.00000000000	22981.047112584
653.00000000000	23595.718132979
656.00000000000	24339.148176568
659.00000000000	25216.707019821
662.00000000000	26234.180317480
665.00000000000	27398.886019818
668.00000000000	28741.564616281
671.00000000000	30270.791789649
674.00000000000	31973.792456053
677.00000000000	33836.733660537
680.00000000000	35818.037159896
683.00000000000	37785.035567432
686.00000000000	39485.273409442
689.00000000000	40575.352790344
692.00000000000	40565.964925895
695.00000000000	38954.448538609
698.00000000000	35315.620562131
701.00000000000	29479.482318242
704.00000000000	22934.841620745
707.00000000000	16948.709619652
710.00000000000	12233.001521260
713.00000000000	8869.6197814236
716.00000000000	6476.8329214136
719.00000000000	5082.7667888355
722.00000000000	4437.1426110763
725.00000000000	4274.4167380493
728.00000000000	4412.1704058859
731.00000000000	4732.7843070982
734.00000000000	5261.6060000964
737.00000000000	5871.9206689917
740.00000000000	6514.1942374211
743.00000000000	7164.6360423696
746.00000000000	7810.4344946861
749.00000000000	8445.0841039649
752.00000000000	9252.1127849946
755.00000000000	10052.189568832
758.00000000000	10816.793692587
761.00000000000	11554.889223669
764.00000000000	12278.206275245
767.00000000000	13001.498147853
770.00000000000	13857.138807823
773.00000000000	14880.195719875
776.00000000000	15871.884546530
779.00000000000	16770.950958054
#Parameters = {R=62}
#"Frequency / THz"	"Total RCS [pw] (R=62) [Magnitude]"
#-----------------------------------------------------
380.00000000000	1763.2660062399
383.00000000000	1814.0125963190
386.00000000000	1866.2416333762
389.00000000000	1920.0989109186
392.00000000000	1975.8660728311
395.00000000000	2033.4443689700
398.00000000000	2092.8040407204
401.00000000000	2154.2267779947
404.00000000000	2217.8756296333
407.00000000000	2283.4552055113
410.00000000000	2351.3650620540
413.00000000000	2421.8735655272
416.00000000000	2494.9788482154
419.00000000000	2570.6112865467
422.00000000000	2648.9483269586
425.00000000000	2730.9900596531
428.00000000000	2816.2480187566
431.00000000000	2904.2180606756
434.00000000000	2995.5782531724
437.00000000000	3091.4442572908
440.00000000000	3191.3683259025
443.00000000000	3296.3754443125
446.00000000000	3405.8025390684
449.00000000000	3520.1875332499
452.00000000000	3639.8625230135
455.00000000000	3765.4591399110
458.00000000000	3897.7451851594
461.00000000000	4036.9652916528
464.00000000000	4184.2102700254
467.00000000000	4340.0805194748
470.00000000000	4505.2215410298
473.00000000000	4680.9424526352
476.00000000000	4868.1245452039
479.00000000000	5068.7133814112
482.00000000000	5283.7542965972
485.00000000000	5515.4688765063
488.00000000000	5766.1844833823
491.00000000000	6038.1638174000
494.00000000000	6337.1745881949
497.00000000000	6665.6894969988
500.00000000000	7028.2933232838
503.00000000000	7432.4145801355
506.00000000000	7884.0821808558
509.00000000000	8394.6019462441
512.00000000000	8979.2784388408
515.00000000000	9650.6749049737
518.00000000000	10432.388507304
521.00000000000	11355.704454340
524.00000000000	12452.574282257
527.00000000000	13780.716764103
530.00000000000	15425.773413961
533.00000000000	17471.014856964
536.00000000000	20058.285524935
539.00000000000	23399.792913703
542.00000000000	27754.696927279
545.00000000000	33496.679001381
548.00000000000	41247.591017491
551.00000000000	51461.901008746
554.00000000000	64387.777776936
557.00000000000	79411.013078924
560.00000000000	93417.699188430
563.00000000000	101239.04018767
566.00000000000	99633.777379809
569.00000000000	90247.288987962
572.00000000000	77968.450619165
575.00000000000	66333.856578848
578.00000000000	56569.273146590
581.00000000000	48867.943140117
584.00000000000	43054.950637289
587.00000000000	38704.102206351
590.00000000000	35368.131363219
593.00000000000	32871.333605109
596.00000000000	31033.317642153
599.00000000000	29697.260235839
602.00000000000	28740.012147781
605.00000000000	28096.562169161
608.00000000000	27708.784862833
611.00000000000	27535.058914821
614.00000000000	27522.023753305
617.00000000000	27681.404289776
620.00000000000	28006.257732862
623.00000000000	28484.411962035
626.00000000000	29110.662455499
629.00000000000	29890.156341701
632.00000000000	30824.333253288
635.00000000000	31917.855706793
638.00000000000	33180.062442477
641.00000000000	34657.655604877
644.00000000000	36341.282388925
647.00000000000	38245.386725629
650.00000000000	40382.804745344
653.00000000000	42777.247415130
656.00000000000	45418.208549720
659.00000000000	48218.635887062
662.00000000000	51039.717378590
665.00000000000	53621.768530047
668.00000000000	55448.673373279
671.00000000000	55703.169706419
674.00000000000	53606.758288873
677.00000000000	48725.206214442
680.00000000000	41462.626238438
683.00000000000	32657.589625552
686.00000000000	24170.471707197
689.00000000000	17437.513047627
692.00000000000	12538.705457281
695.00000000000	9079.8118905168
698.00000000000	6702.5125929653
701.00000000000	5222.3516875234
704.00000000000	4558.9286479049
707.00000000000	4425.0577942438
710.00000000000	4623.1934302333
713.00000000000	5026.2353055802
716.00000000000	5618.7927010390
719.00000000000	6315.1933574530
722.00000000000	7051.5967108089
725.00000000000	7802.5986038438
728.00000000000	8553.2762414518
731.00000000000	9295.2597694085
734.00000000000	10156.971950878
737.00000000000	10999.880636575
740.00000000000	11814.279093496
743.00000000000	12602.118049015
746.00000000000	13366.554334765
749.00000000000	14110.477410840
752.00000000000	15033.990311387
755.00000000000	15989.843626950
758.00000000000	16984.736190987
761.00000000000	18061.570965865
764.00000000000	19246.156612537
767.00000000000	20525.934125271
770.00000000000	21869.376743363
773.00000000000	22960.390338017
776.00000000000	23663.207706830
779.00000000000	24052.046872058
#Parameters = {R=66}
#"Frequency / THz"	"Total RCS [pw] (R=66) [Magnitude]"
#-----------------------------------------------------
380.00000000000	2588.4531151383
383.00000000000	2666.8302640001
386.00000000000	2747.8328442369
389.00000000000	2831.5626857384
392.00000000000	2918.7262906432
395.00000000000	3009.0624311176
398.00000000000	3102.3983451254
401.00000000000	3199.6704068414
404.00000000000	3300.9509276698
407.00000000000	3406.0910778762
410.00000000000	3515.3575343220
413.00000000000	3629.5399964432
416.00000000000	3748.6430633167
419.00000000000	3872.7152916056
422.00000000000	4002.2316300730
425.00000000000	4139.0667869028
428.00000000000	4282.4413001049
431.00000000000	4432.0239904764
434.00000000000	4588.7424373784
437.00000000000	4755.1080752656
440.00000000000	4930.6620030953
443.00000000000	5117.9077000237
446.00000000000	5315.7214738961
449.00000000000	5525.6328723649
452.00000000000	5748.9705843035
455.00000000000	5987.8123563403
458.00000000000	6244.6342509484
461.00000000000	6520.9575889589
464.00000000000	6820.6175044477
467.00000000000	7145.9668587128
470.00000000000	7501.5851696114
473.00000000000	7892.1200333447
476.00000000000	8321.5847636332
479.00000000000	8803.3603384124
482.00000000000	9340.2962568253
485.00000000000	9949.0080790995
488.00000000000	10638.824582872
491.00000000000	11431.006056111
494.00000000000	12358.133025427
497.00000000000	13447.726045943
500.00000000000	14741.512185349
503.00000000000	16303.212930369
506.00000000000	18208.043724996
509.00000000000	20573.664011636
512.00000000000	23574.403246749
515.00000000000	27412.292489432
518.00000000000	32415.687410179
521.00000000000	39046.621191343
524.00000000000	47830.127287413
527.00000000000	59468.302158835
530.00000000000	74506.679610372
533.00000000000	92090.566382160
536.00000000000	109121.07639386
539.00000000000	119869.54267012
542.00000000000	119888.21366355
545.00000000000	110392.97519108
548.00000000000	96259.006144215
551.00000000000	82207.824605724
554.00000000000	70317.728951336
557.00000000000	60794.917199557
560.00000000000	53470.502834565
563.00000000000	47970.543284785
566.00000000000	43843.721754881
569.00000000000	40709.610746050
572.00000000000	38388.986724415
575.00000000000	36690.162557999
578.00000000000	35449.290990489
581.00000000000	34586.669482032
584.00000000000	34055.914911251
587.00000000000	33802.577102044
590.00000000000	33769.913237028
593.00000000000	33947.990775193
596.00000000000	34321.827799588
599.00000000000	34875.204511060
602.00000000000	35602.022770681
605.00000000000	36499.527608975
608.00000000000	37564.779679978
611.00000000000	38803.114451471
614.00000000000	40259.935289081
617.00000000000	41941.109247903
620.00000000000	43847.715244899
623.00000000000	45994.372178511
626.00000000000	48424.765125497
629.00000000000	51165.884426265
632.00000000000	54186.371937612
635.00000000000	57460.622379306
638.00000000000	60922.582725431
641.00000000000	64495.517368350
644.00000000000	67759.736919048
647.00000000000	70183.254982226
650.00000000000	71014.622934437
653.00000000000	69150.566103049
656.00000000000	63628.707600547
659.00000000000	54975.582413236
662.00000000000	44590.742596644
665.00000000000	34367.279778889
668.00000000000	25428.773685170
671.00000000000	18656.277692559
674.00000000000	13561.407340106
677.00000000000	9613.8515869494
680.00000000000	6973.5350358405
683.00000000000	5456.4160711208
686.00000000000	4793.2459430058
689.00000000000	4697.8606941939
692.00000000000	4956.3416345614
695.00000000000	5435.0851749430
698.00000000000	6072.4034828441
701.00000000000	6860.8456825033
704.00000000000	7700.9223475209
707.00000000000	8563.5349108547
710.00000000000	9430.7849580617
713.00000000000	10291.756928475
716.00000000000	11220.109245887
719.00000000000	12151.865013806
722.00000000000	13056.028310156
725.00000000000	13933.088881094
728.00000000000	14783.659603052
731.00000000000	15609.581648588
734.00000000000	16548.178615835
737.00000000000	17458.975461555
740.00000000000	18341.919849097
743.00000000000	19227.576373642
746.00000000000	20166.122455886
749.00000000000	21204.545200051
752.00000000000	22734.636277693
755.00000000000	24567.953036461
758.00000000000	26510.379127138
761.00000000000	28322.931512251
764.00000000000	29805.753963189
767.00000000000	30896.294081209
770.00000000000	31269.125034676
773.00000000000	30875.700382772
776.00000000000	30231.832296883
779.00000000000	29381.158631200
#Parameters = {R=70}
#"Frequency / THz"	"Total RCS [pw] (R=70) [Magnitude]"
#-----------------------------------------------------
380.00000000000	3743.3168188012
383.00000000000	3864.0687346687
386.00000000000	3989.5209794999
389.00000000000	4119.9603007703
392.00000000000	4256.3132414219
395.00000000000	4398.7285386145
398.00000000000	4547.1309185782
401.00000000000	4702.6811229427
404.00000000000	4865.9874353020
407.00000000000	5036.9104195047
410.00000000000	5216.1348506169
413.00000000000	5405.3441945814
