#Parameters = {R=50}
#"Wavelength / nm"	"Total ACS [pw] (R=50) [Magnitude]"
#-----------------------------------------------------
438.93478477306	21255.417903566
437.01524489796	24702.713361762
435.11242089985	27453.845741037
433.22609537572	29245.412589468
431.35605467626	30240.592666142
429.50208882521	30744.792464209
427.66399144080	30326.622766790
425.84155965909	27999.322493367
424.03459405941	24280.052801903
422.24289859155	20563.878640122
420.46628050491	17513.575814776
418.70455027933	15007.914928542
416.95752155772	13105.214454106
415.22501108033	11680.016419826
413.50683862069	10594.219980581
411.80282692308	9756.5479407587
410.11280164159	9106.8183696872
408.43659128065	8553.8880087182
406.77402713704	8159.0609231269
405.12494324324	7896.2540598299
403.48917631225	7760.4020675875
401.86656568365	7740.0458894501
400.25695327103	7833.7653816390
398.66018351064	8277.4736744694
397.07610331126	8925.0946090401
395.50456200528	9684.0806482542
393.94541130092	10478.259868714
392.39850523560	11267.248846088
390.86370013038	12060.605726203
389.34085454545	13027.103779909
387.82982923674	13806.284723240
386.33048711340	14059.964417629
384.84269319641	14007.513091548
#Parameters = {R=70}
#"Wavelength / nm"	"Total ACS [pw] (R=70) [Magnitude]"
#-----------------------------------------------------
788.92752105263	24.479549285403
782.74793211488	30.767627737484
776.66439896373	36.622287500925
770.67469922879	42.150073098872
764.77667857143	48.913286199196
758.96824810127	56.580608256696
753.24738190955	65.998010906782
747.61211471322	75.878987085971
742.06053960396	86.167011012107
736.59080589681	97.546832312624
731.20111707317	110.06166052746
725.88972881356	124.43573234363
720.65494711538	140.39809042642
715.49512649165	155.39855506436
710.40866824645	171.49182513240
705.39401882353	189.77567051488
700.44966822430	210.04524590410
695.57414849188	234.50853734907
690.76603225806	261.90371509603
686.02393135011	292.99868142165
681.34649545455	327.94943835709
676.73241083521	368.72503340974
672.18039910314	415.46349368788
667.68921603563	467.54693303060
663.25765044248	525.75990725258
658.88452307692	593.31513137700
654.56868558952	673.72970666711
650.30901952278	767.52872330925
646.10443534483	878.51871992023
641.95387152034	1009.1136693121
637.85629361702	1163.9599788014
633.81069344609	1348.9216662068
629.81608823529	1572.0914500029
625.87151983299	1840.5503242746
621.97605394191	2170.8270603959
618.12877938144	2586.5334193331
614.32880737705	3116.3135457739
610.57527087576	3793.0697140721
606.86732388664	4708.4918467380
603.20414084507	5920.7457423642
599.58491600000	7521.3660407021
596.00886282306	9594.0574277853
592.47521343874	12271.512050672
588.98321807466	15571.627320748
585.53214453125	19211.040140748
582.12127766990	22229.415612688
578.74991891892	23472.105107614
575.41738579655	22424.582296479
572.12301145038	19749.483047877
568.86614421252	16546.062251401
565.64614716981	13550.099834233
562.46239774859	11087.398868626
559.31428731343	9165.3805778262
556.20122077922	7706.7865069684
553.12261623616	6581.0678917688
550.07790458716	5711.4168421409
547.06652919708	5022.7339873110
544.08794555354	4484.0078613951
541.14162093863	4059.7802417908
538.22703411131	3729.0154081384
535.34367500000	3469.3194569177
532.49104440497	3269.1331553166
529.66865371025	3119.8308912545
526.87602460457	3019.9356861497
524.11268881119	2957.1904260739
521.37818782609	2928.2659119764
518.67207266436	2926.8171615532
515.99390361446	2953.5432433799
513.34325000000	3015.8631503177
510.71968994889	3115.3947649779
508.12281016949	3282.9807062637
505.55220573356	3509.4361134623
503.00747986577	3792.5083991547
500.48824373957	4142.1303645171
497.99411627907	4575.0993193680
495.52472396694	5103.6923983297
493.07970065789	5751.3117130296
490.65868739771	6540.3641940498
488.26133224756	7562.3337634760
485.88729011345	8841.9956618645
483.53622258065	10397.414741836
481.20779775281	12256.211759905
478.90169009585	14481.767789148
476.61758028617	17041.782746375
474.35515506329	19708.756369415
472.11410708661	22232.953102618
469.89413479624	24396.581189004
467.69494227769	26350.630634043
465.51623913043	28345.551161512
463.35774034003	31511.799637420
461.21916615385	36970.756966622
459.10024196018	41793.063379039
457.00069817073	37468.812481566
454.92027010622	28649.125172907
452.85869788520	21972.254578226
